Rank,Address,Address_Nametag,Quantity,Percentage,Value
"1","0x9d466e39799fec7204f40133ecc0beb115813c13","","400,000,000","40.0000%",""
"2","0x0b333e3bf4435d9dd622c5e037cd50fb1acbdb4b","","248,396,494","24.8396%",""
"3","0xac95d0b5603c7212a690bd089bad472473496374","","150,000,000.000004850071032573","15.0000%",""
"4","0x6ad03686ab6c3ba2c77992995e4879c62de88996","","100,000,000","10.0000%",""
"5","0x5817dccb35cd3a67520e5bda1ebc413cf097a8ee","","50,643,000","5.0643%",""
"6","0x721d2adccf634f4185ede152ee98ca836cf22ea6","","49,970,000","4.9970%",""
"7","0x763c9ab550dc0dabd32f40131481bf4ba4d8c1ea","","943,819.69005866561074916","0.0944%",""
"8","0x464241093bbb0805ec3398889c535681660b45df","","24,000","0.0024%",""
"9","0xd32eaa4c48f65d99658e079795cc46c8edd70835","","20,000","0.0020%",""
"10","0x07fe5e7280d91d525b2811d2426f04c34cc6d267","","2,500","0.0003%",""
"11","0x5d64d14d2cf4fe5fe4e65b1c7e3d11e18d493091","","185.850530313460823929","0.0000%",""
"12","0xf123f1269fcb1d0c6f1dcfc3ef1f68deddf52a5e","","0.459406170857394338","0.0000%",""